TARGET,FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,LabelAppeal,AcidIndex,STARS
6,15.9,0.24,-1.16,1.3,0.167,-237.0,568.0,1.00512,4.76,0.38,10.2,0,6,2.0
4,4.4,1.82,0.34,8.3,0.052,44.0,168.0,0.99627,2.63,0.52,6.9,1,8,2.0
4,9.0,-0.565,-1.18,5.9,-0.238,-373.0,469.0,0.97712,2.93,1.45,10.2,0,10,2.0
0,14.4,0.44,0.68,-56.8,0.114,-24.0,457.0,0.997,2.01,-0.12,18.7,0,12,1.0
4,7.6,0.74,0.52,14.6,0.553,90.0,421.0,0.99628,2.15,0.4,15.1,1,7,2.0
4,7.0,0.3,0.38,15.6,-0.006,60.0,556.0,0.9983,3.18,2.33,4.1,-1,8,3.0
4,7.7,-0.97,-1.03,20.1,0.069,-149.0,134.0,1.01688,2.24,0.79,9.8,1,8,1.0
4,7.3,-0.76,2.27,-2.45,0.066,50.0,134.0,0.9998,4.0,-0.76,2.4,-1,8,1.0
5,16.5,-0.57,0.58,16.0,-0.255,192.0,100.0,1.00329,5.51,0.13,11.4,1,6,2.0
3,12.6,0.26,-0.45,30.3,0.046,189.0,-17.0,0.9784,2.97,0.68,11.0,-1,7,1.0
4,6.3,0.22,0.22,-34.4,0.039,154.0,160.0,0.99296,3.12,0.46,6.1,0,7,1.0
6,7.3,1.17,0.27,65.7,-0.862,45.0,392.0,0.99807,3.25,-1.34,3.3,0,8,2.0
5,3.5,0.17,0.28,60.2,0.053,62.0,225.0,0.99204,2.58,1.72,14.4,2,7,3.0
4,3.2,-0.29,-1.97,61.7,0.042,51.0,-145.0,0.97632,2.39,-0.51,9.5,0,7,2.0
3,10.8,1.0,1.02,12.2,1.058,122.0,-84.0,0.997,3.05,0.95,7.9,0,7,2.0
4,6.5,-0.38,0.77,1.0,0.023,6.0,596.0,1.0081,4.24,0.54,12.9,0,7,2.0
2,6.8,-0.71,0.44,25.4,0.05,29.0,155.0,0.98563,4.19,0.42,11.4,-1,8,1.0
4,6.5,-0.75,1.24,2.2,0.475,116.0,51.0,0.99076,3.27,0.9,12.0,-1,7,3.0
3,10.8,1.44,2.18,-31.75,-0.322,-35.0,111.0,0.9974,3.11,0.84,10.9,0,8,3.0
3,6.8,0.22,0.62,17.5,0.039,25.0,-99.0,0.9994,3.24,0.02,17.9,-1,7,1.0
3,7.0,0.25,0.45,130.6,0.429,21.0,350.0,0.99064,3.59,0.48,2.4,-2,8,3.0
4,6.4,0.17,-0.3,1.5,0.288,43.0,136.0,0.9938,3.27,0.49,9.6,0,7,3.0
0,12.3,0.85,0.4,35.7,-0.142,-14.0,170.0,0.99494,2.02,1.88,7.25,-1,7,1.0
5,6.3,0.34,0.95,32.5,0.024,137.0,152.0,0.96984,4.03,0.6,11.9,0,7,3.0
5,4.3,0.32,0.26,8.3,0.053,30.0,-221.0,1.03267,3.25,1.23,13.8,1,7,2.0
3,-2.1,0.38,1.21,4.6,0.225,25.0,101.0,0.9931,4.04,0.38,10.2,-1,7,2.0
4,6.8,0.59,0.32,-30.0,0.393,24.0,-24.0,0.96302,3.73,-1.29,6.2,0,7,2.0
0,5.3,0.23,-1.31,3.75,0.439,14.0,407.0,0.9927,1.96,1.7,12.6,1,7,1.0
4,5.3,-0.48,0.39,1.0,0.028,212.0,101.0,0.99156,3.95,0.59,10.4,0,6,1.0
3,5.9,1.33,1.27,-32.0,0.658,201.0,89.0,1.00006,2.35,0.53,10.4,0,7,1.0
4,8.0,1.93,-1.11,8.8,-0.247,-29.0,301.0,0.97871,3.82,1.35,18.9,-2,9,1.0
1,-4.3,-0.91,-0.85,-112.7,0.007,9.0,-253.0,0.99441,3.67,-0.35,9.8,-1,7,1.0
4,6.6,-0.63,0.52,9.4,0.532,230.0,169.0,0.97835,3.33,-0.26,9.8,0,7,2.0
2,17.5,-0.57,0.23,7.3,0.311,-4.0,-543.0,0.9962,2.5,0.53,9.1,-1,7,2.0
5,-2.2,-0.6,0.3,43.8,-0.543,15.0,-135.0,0.992,4.27,0.98,11.2,1,7,2.0
3,5.6,-1.19,0.27,1.4,0.044,-18.0,-236.0,0.9918,3.87,-1.13,12.7,-1,6,1.0
5,-10.0,0.22,-1.24,26.7,0.04,22.0,78.0,1.0199,3.34,-0.57,10.7,0,7,2.0
5,15.6,0.645,-0.05,-34.8,0.33,-92.0,46.0,1.09608,2.92,0.76,11.1,2,17,3.0
2,5.2,0.765,0.22,39.7,0.053,-259.0,42.0,1.0301,3.1,0.55,9.4,-1,10,2.0
0,5.7,-0.02,2.19,-28.6,-0.087,60.0,167.0,0.9989,3.31,2.17,10.1,0,6,1.0
4,6.2,0.18,-0.02,61.95,-0.189,44.0,145.0,0.99184,3.22,0.4,5.7,0,7,3.0
5,8.3,-0.86,0.3,2.1,0.049,145.0,486.0,0.96377,3.09,1.78,9.6,1,9,3.0
4,11.2,0.27,-0.63,39.2,1.27,239.0,163.0,0.97418,3.2,1.71,9.3,1,7,2.0
3,6.0,0.26,-2.42,-10.9,0.035,10.0,72.0,1.015395,3.11,-2.69,8.05,-1,7,3.0
5,13.5,0.23,1.76,1.4,0.61,49.0,549.0,0.9906,3.35,0.64,12.4,-1,7,3.0
5,-2.7,-0.53,-1.18,9.7,-0.153,160.0,83.0,0.96984,3.08,-0.18,12.9,0,7,3.0
5,8.5,1.35,0.31,5.9,0.03,27.0,223.0,0.95128,2.14,0.31,12.2,0,6,3.0
4,6.4,-1.15,-0.24,8.8,0.057,36.0,221.0,0.96661,3.17,2.01,9.1,1,7,3.0
3,1.8,0.14,0.25,-10.2,-0.572,95.0,140.0,1.02018,3.25,-0.46,13.0,-1,6,2.0
4,-1.8,0.18,0.8,73.3,0.039,47.0,547.0,0.99678,3.28,1.9,9.2,-1,7,2.0
5,2.4,0.18,0.93,-55.2,0.058,267.0,140.0,1.00064,3.04,0.37,10.1,0,9,3.0
0,6.5,0.19,0.49,5.2,0.04,31.0,466.0,0.995,4.28,0.68,11.9,0,7,1.0
5,11.7,0.39,0.23,13.7,0.084,49.0,197.0,0.99364,2.6,-0.72,8.7,2,8,4.0
0,5.1,0.73,0.26,67.0,-0.191,-125.0,422.0,0.99409,3.38,0.4,11.5,0,6,1.0
2,-4.2,1.8,0.0,1.3,-0.556,72.0,-102.0,1.0269,3.56,1.35,10.9,-1,6,1.0
4,13.8,0.62,-2.76,37.7,0.049,-41.0,191.0,1.02841,4.04,-0.35,2.3,0,8,3.0
2,6.5,-2.47,0.39,7.8,0.038,266.0,219.0,1.00561,5.12,-0.38,4.2,-1,7,1.0
5,6.9,0.23,0.15,7.5,0.04,326.0,-245.0,0.9927,3.11,0.27,5.7,1,8,2.0
4,7.0,-1.25,0.77,49.0,-0.045,37.0,-188.0,0.99436,2.64,0.39,9.9,1,8,2.0
4,14.0,-1.18,0.4,38.9,-0.008,292.0,549.0,0.89455,3.3,0.96,9.8,-1,8,2.0
3,7.9,0.3,-1.17,-16.9,0.404,249.0,-37.0,0.9939,2.69,0.46,11.7,-1,8,3.0
1,7.4,-0.7,0.3,51.6,0.093,-58.0,232.0,1.01178,2.96,0.34,10.4,-2,8,1.0
5,-3.6,2.225,0.53,1.9,0.064,29.0,38.0,1.0186,3.13,0.56,13.85,1,8,4.0
2,8.0,-0.29,0.17,-22.3,0.04,13.0,60.0,0.9956,3.09,0.97,2.9,0,9,1.0
5,11.9,1.32,0.75,7.1,0.027,26.0,-270.0,0.98948,3.35,0.38,11.6,0,6,4.0
3,6.3,-0.47,-0.75,14.9,0.542,107.0,287.0,1.00808,2.04,-0.99,11.3,-1,7,1.0
4,5.4,-0.62,-1.26,8.2,-0.435,-14.0,-234.0,0.95576,3.12,-0.34,9.5,1,7,2.0
5,6.3,0.34,-1.32,6.0,0.02,256.0,266.0,0.98981,3.79,0.29,14.7,0,7,2.0
5,-3.2,1.04,-2.79,-9.0,0.03,31.0,100.0,1.08655,2.51,-0.31,11.1,0,9,2.0
5,-2.5,0.17,-2.73,1.0,0.147,19.0,429.0,0.99093,3.33,0.55,1.5,1,8,2.0
1,8.2,1.04,1.2,-24.7,0.434,-184.0,69.0,0.9944,3.14,1.81,10.2,-1,9,2.0
4,7.5,0.31,0.41,2.4,-0.11,184.0,88.0,0.99492,3.5,2.71,9.3,0,8,2.0
5,6.2,0.16,1.55,-31.8,-0.169,42.0,-46.0,0.97188,2.49,-1.04,11.1,1,7,3.0
0,9.7,0.67,0.17,-3.7,-0.345,20.0,53.0,1.0004,3.14,0.61,11.7,0,10,1.0
5,18.5,0.43,0.54,13.0,0.033,37.0,351.0,0.96734,3.14,0.35,5.2,1,9,2.0
3,5.5,0.35,1.24,1.1,0.211,-236.0,198.0,0.992,3.34,0.68,9.4,-1,6,2.0
1,6.4,0.24,1.79,3.5,0.048,5.0,109.0,0.97584,2.81,0.44,11.7,0,6,1.0
5,7.3,-0.22,0.37,1.8,0.032,-180.0,431.0,0.992,2.59,0.35,13.1,1,8,4.0
0,-7.7,0.26,0.29,5.8,0.025,-186.0,439.0,0.94341,3.28,0.53,11.0,0,7,1.0
4,6.4,-0.9,-1.13,2.2,0.111,33.0,-266.0,1.01012,3.21,0.47,6.8,0,7,2.0
4,6.3,1.5,0.23,56.2,0.483,13.0,-195.0,0.9936,4.16,0.43,9.8,1,7,2.0
3,4.9,-0.385,-0.73,1.3,-0.954,70.0,168.0,0.99212,3.47,-1.06,10.46666667,0,5,2.0
4,6.0,-0.49,0.26,-7.7,0.588,-232.0,93.0,0.9928,2.02,0.42,11.0,0,6,2.0
4,6.8,0.69,1.16,69.3,0.037,57.0,57.0,0.99884,3.26,0.57,8.4,0,7,2.0
5,13.4,0.16,1.57,0.8,0.005,50.0,121.0,1.01509,3.27,0.23,12.8,1,8,3.0
3,5.8,-0.84,-1.14,55.9,0.071,257.0,-112.0,0.97633,3.1,0.92,11.5,-1,6,2.0
2,14.6,0.82,0.24,45.4,-0.069,52.0,623.0,0.98459,0.94,0.49,14.8,-1,8,1.0
4,7.4,0.49,0.27,-46.3,0.6,-431.0,113.0,0.95956,1.76,0.63,10.7,0,8,2.0
4,5.8,0.3,0.34,-25.7,-0.146,25.0,267.0,0.94035,3.2,-0.1,14.9,0,6,1.0
5,3.4,0.2,0.31,-18.2,0.101,34.0,116.0,0.94149,4.16,0.39,7.2,0,8,3.0
3,9.8,1.31,0.49,89.9,-0.035,203.0,109.0,1.01695,3.07,-1.52,7.7,-1,8,1.0
5,13.5,0.09,-0.52,2.7,0.046,46.0,-246.0,0.9924,2.63,0.57,10.9,1,7,4.0
3,9.0,0.255,0.24,1.7,0.195,33.5,658.0,1.01883,3.53,-0.14,9.6,1,7,1.0
4,17.8,-0.85,0.56,-53.7,0.156,49.0,106.0,0.9981,3.1,-0.77,9.2,0,7,3.0
4,7.4,0.41,-0.3,1.8,-0.397,18.0,329.0,0.96178,3.37,-0.64,10.4,1,8,1.0
5,-10.9,-0.73,0.28,14.7,0.051,29.0,497.0,0.97074,3.11,-0.06,2.8,0,7,3.0
0,7.7,0.22,2.25,14.4,0.046,-241.0,95.0,0.94446,3.24,0.5,9.1,-1,7,1.0
3,14.4,0.28,0.23,10.4,0.107,-240.0,190.0,0.99754,3.53,1.37,0.6,0,7,2.0
2,9.3,1.39,0.0,10.7,0.034,46.0,340.0,1.00689,3.19,0.35,9.2,0,8,1.0
5,7.1,0.53,1.45,19.1,-0.451,116.0,104.0,0.9953,3.08,1.12,10.5,0,8,2.0
3,7.5,0.26,1.64,34.2,0.032,275.0,-45.0,0.93346,2.06,1.81,11.9,-1,8,2.0
5,7.1,-0.08,0.3,-19.4,-0.445,-449.0,309.0,0.93977,2.1,0.31,12.3,0,8,1.0
0,1.0,0.3,0.28,-38.5,0.042,-235.0,-94.0,0.95523,3.2,0.65,11.4,0,8,1.0
3,4.6,0.22,0.12,-31.3,-0.527,42.0,144.0,0.991,3.89,-0.1,12.2,-1,8,1.0
4,26.2,0.24,0.38,4.3,0.044,-109.0,172.0,0.996,2.08,1.85,10.8,0,9,3.0
5,7.5,0.06,0.24,7.1,-0.377,28.0,-224.0,0.99397,3.16,0.01,6.2,0,8,1.0
6,7.7,0.39,-1.34,4.9,-0.377,36.0,109.0,0.9918,3.52,0.18,12.2,1,8,3.0
5,10.5,0.46,0.24,16.3,0.051,-114.0,171.0,0.95441,1.47,1.13,10.5,1,7,4.0
4,-2.3,1.23,0.31,31.6,-0.288,155.0,503.0,0.95372,3.03,-0.7,18.0,0,8,3.0
2,5.6,0.39,1.06,38.0,0.579,264.0,77.0,0.97257,3.28,1.63,12.7,-1,6,2.0
3,-17.5,1.65,0.29,9.8,-0.232,110.0,134.0,0.99534,3.16,0.4,10.2,-1,7,2.0
4,15.9,0.29,0.35,-36.2,1.079,11.0,-332.0,0.9926,3.08,-0.49,10.6,1,9,2.0
3,5.7,-1.14,0.18,5.1,0.371,193.0,-153.0,1.01421,2.67,1.15,9.2,0,7,1.0
2,14.3,0.23,-2.71,0.9,0.478,329.0,141.0,1.01891,3.16,0.14,12.2,-1,6,1.0
1,11.8,1.54,3.63,10.8,0.041,70.0,189.0,0.9976,3.08,-0.93,13.9,-1,8,1.0
3,8.7,0.31,0.73,14.35,0.46,272.0,230.0,0.95984,1.94,0.88,13.0,0,10,2.0
4,9.0,1.43,1.37,37.1,1.135,15.0,-582.0,0.95075,3.26,0.69,7.7,1,8,1.0
3,-14.9,-1.05,0.22,1.3,0.049,25.0,155.0,1.032,4.21,0.43,14.2,0,6,3.0
3,6.5,0.18,-0.98,23.6,0.232,142.0,144.0,1.02796,3.49,1.49,11.0,-1,7,1.0
5,5.8,0.28,-0.48,-47.3,0.498,40.0,-277.0,0.9896,3.2,1.04,12.8,0,6,3.0
2,4.9,0.335,0.14,1.3,0.627,131.0,171.0,0.99212,3.23,0.46,10.76666667,-1,5,1.0
4,5.1,-0.915,0.51,1.2,0.047,33.0,127.0,0.97915,4.32,1.88,11.0,-1,6,2.0
3,6.4,-0.19,0.22,-127.1,0.048,19.0,-175.0,1.03545,2.64,1.89,10.1,0,7,1.0
3,-1.0,0.7,-1.05,1.9,0.076,269.0,-175.0,0.9978,3.51,2.13,9.4,0,8,2.0
3,6.8,0.23,0.3,6.95,0.044,-171.0,59.0,0.99339,3.6,0.56,10.6,-1,7,1.0
3,7.0,0.44,0.24,12.1,-0.452,142.0,210.0,0.99718,2.64,0.5,7.4,0,8,1.0
6,7.6,-1.09,0.35,39.2,-0.185,43.0,-54.0,0.9934,3.36,0.69,11.6,2,8,2.0
5,12.9,0.53,0.31,-55.0,0.034,133.0,109.0,0.9906,3.26,0.57,9.3,-1,8,4.0
0,17.9,3.0,-0.59,10.0,0.662,-327.0,414.0,0.9992,3.05,1.52,3.1,1,13,1.0
4,13.7,-1.15,1.59,46.6,0.04,-180.0,206.0,1.00871,2.15,0.58,6.4,0,7,1.0
0,5.5,2.01,0.55,25.6,0.037,131.0,294.0,0.99184,3.26,0.38,10.7,0,6,1.0
5,17.8,1.15,0.3,-59.6,0.13,-77.0,-36.0,0.96797,3.43,0.61,10.5,1,8,2.0
4,7.8,0.22,-1.22,-29.3,0.642,38.0,132.0,1.04558,3.25,-1.2,10.2,0,8,3.0
5,7.3,0.84,-0.05,1.2,0.044,206.0,143.0,1.00427,3.2,0.33,11.3,0,8,2.0
2,1.2,0.5,0.22,-31.6,0.118,55.0,-552.0,0.98228,3.19,0.52,8.2,-1,7,1.0
4,4.7,0.31,0.36,8.6,0.256,63.0,360.0,1.03039,2.5,0.5,5.8,1,7,3.0
7,5.7,2.86,0.3,28.7,0.046,202.0,-225.0,0.9451,3.86,2.21,11.9,2,6,4.0
0,5.9,2.15,-0.38,2.1,0.865,16.0,24.0,0.99376,3.56,0.19,11.5,-2,7,2.0
4,-0.1,0.96,0.01,8.1,-0.401,32.0,162.0,0.98698,2.07,0.38,10.4,-2,8,2.0
5,6.7,0.18,-0.47,89.5,0.352,-60.0,488.0,0.94703,3.37,2.1,15.6,1,7,2.0
4,7.2,0.23,0.39,1.5,0.053,219.0,106.0,0.99166,3.01,0.47,11.1,0,8,3.0
4,6.7,0.48,0.69,2.9,0.392,28.0,-219.0,0.98317,2.83,0.05,19.8,0,8,3.0
3,8.6,0.18,0.28,-31.3,0.032,25.0,-299.0,0.98167,2.99,0.38,9.7,0,9,1.0
6,1.1,0.34,-1.06,2.2,0.235,-299.0,304.0,0.98919,3.23,0.46,9.6,0,6,3.0
5,6.0,-0.22,0.73,-8.3,0.569,57.0,128.0,0.98982,3.22,0.39,6.2,1,7,2.0
4,0.5,0.39,0.32,-16.0,-0.039,37.0,266.0,1.02969,3.26,0.38,16.0,-2,6,1.0
4,4.7,-0.26,0.06,16.4,0.058,45.0,447.0,0.9978,3.15,1.99,9.7,0,7,1.0
0,9.7,1.94,0.14,2.0,-0.336,15.0,-87.0,1.02953,3.28,0.6,11.5,0,7,2.0
5,7.4,0.25,0.28,7.25,-0.204,281.0,492.0,0.96067,2.94,-0.73,6.2,0,8,2.0
0,17.7,2.95,0.4,12.7,0.412,-222.0,-563.0,0.99583,4.21,0.12,9.3,0,7,1.0
4,7.0,0.22,2.19,14.5,0.055,27.0,535.0,1.00841,2.98,0.55,3.8,1,7,2.0
5,12.1,-0.05,1.9,4.1,0.033,-398.0,138.0,0.97184,3.87,1.77,14.1,0,9,3.0
5,27.7,0.25,1.0,14.4,0.374,55.0,205.0,0.95063,3.24,0.38,9.0,0,8,2.0
3,16.1,1.37,0.29,13.7,0.035,94.0,134.0,0.99567,2.11,0.38,16.3,-1,7,3.0
4,15.5,0.32,1.56,28.8,0.063,16.0,37.0,1.0332,2.51,0.78,15.7,0,12,1.0
5,5.6,0.15,0.26,5.55,-0.409,-177.0,-290.0,0.9491,3.11,2.24,14.7,1,6,3.0
4,4.5,1.74,0.03,4.2,-0.026,-204.0,93.0,0.9963,4.03,0.48,13.4,-1,8,3.0
2,10.7,-1.02,0.99,2.9,-0.38,21.0,438.0,0.9807,3.09,3.05,9.3,-1,9,2.0
3,-0.4,0.27,0.28,-50.3,0.042,187.0,365.0,0.97226,2.52,0.03,13.0,-1,7,1.0
7,9.0,-0.78,0.31,3.5,0.576,37.0,9.0,0.98872,2.8,-0.82,13.6,2,7,3.0
0,7.6,0.58,0.29,2.5,0.486,-114.0,71.0,0.99328,3.5,0.37,4.4,1,8,1.0
6,8.5,1.42,3.09,5.2,0.027,70.0,93.0,0.90758,3.06,-2.42,12.3,0,7,2.0
6,14.6,0.19,2.23,6.1,0.24,9.0,-373.0,0.9927,3.12,-0.52,4.3,2,7,2.0
5,6.4,0.54,0.37,31.5,0.214,55.0,95.0,1.00369,4.42,0.77,9.0,1,11,2.0
2,-5.3,0.59,2.48,-17.4,-0.546,37.0,162.0,0.9983,3.13,-0.45,11.7,0,7,1.0
4,6.4,-0.19,-0.11,1.6,0.038,113.0,47.0,1.01226,3.14,-1.09,9.6,0,7,3.0
3,9.1,0.98,0.58,33.6,0.036,44.0,161.0,1.0275,3.06,0.41,8.9,-1,9,2.0
4,12.8,-0.38,1.88,13.2,0.295,-1.0,355.0,0.9973,3.2,1.88,9.6,1,8,1.0
3,8.3,0.12,0.57,15.0,0.052,-189.0,256.0,1.0001,2.93,0.64,10.3,0,9,1.0
6,6.1,0.32,0.53,45.8,0.036,113.0,98.0,1.06161,3.34,0.52,10.2,2,7,3.0
3,-3.5,0.2,1.61,27.1,0.546,86.0,-46.0,1.00959,3.07,0.54,10.7,-1,7,1.0
5,7.3,1.07,0.5,-53.7,0.045,114.0,388.0,0.9525,3.13,0.74,11.5,1,8,1.0
4,4.2,1.295,0.43,45.9,0.621,284.0,33.0,1.02765,3.58,0.69,17.1,-1,8,3.0
3,13.5,0.22,0.33,1.2,0.63,38.0,33.0,0.94302,2.83,0.31,10.3,0,9,2.0
3,12.1,0.3,-0.92,6.3,0.057,229.0,-46.0,1.0388,3.66,1.39,9.6,0,7,2.0
2,7.9,0.345,1.88,15.3,0.605,54.0,255.0,1.03625,2.07,1.44,10.7,-1,9,1.0
0,7.4,0.9,1.92,6.9,0.161,14.0,93.0,1.00489,3.59,0.48,9.4,0,8,1.0
4,7.7,-0.78,0.32,1.6,0.037,113.0,124.0,1.06914,2.93,0.33,11.0,0,8,2.0
3,7.2,1.52,0.78,6.75,0.031,22.0,283.0,0.98565,4.4,-0.17,1.2,-2,7,3.0
5,7.4,1.76,0.42,-20.5,0.117,53.0,616.0,0.96197,2.96,0.74,9.1,2,8,1.0
3,6.5,2.24,0.25,-0.7,0.035,-81.0,76.0,0.9914,3.58,0.76,11.33333333,-1,7,3.0
4,3.4,-0.315,0.25,56.2,-0.066,19.0,75.0,1.01054,3.23,0.56,6.6,1,8,4.0
3,-3.8,0.27,-0.98,-39.9,-0.05,-33.0,415.0,1.00831,3.45,0.45,6.2,-1,7,1.0
2,6.4,0.08,-0.68,53.4,0.469,28.0,178.0,0.9896,3.31,0.45,12.1,-1,7,1.0
4,17.0,0.23,0.34,4.0,0.608,86.0,-287.0,0.9174,4.21,-0.5,9.7,0,7,3.0
5,7.8,-1.04,0.64,10.4,0.031,221.0,480.0,0.99692,3.51,0.58,4.6,1,8,2.0
5,6.5,2.21,-0.82,1.4,0.03,-207.0,132.0,0.96579,3.36,0.53,5.8,0,7,1.0
2,3.5,0.61,0.2,1.7,0.7,36.0,473.0,1.03477,3.1,0.4,7.9,-1,8,2.0
5,4.9,0.22,1.68,1.7,0.354,67.0,3.0,0.9928,2.73,0.56,10.4,1,7,4.0
4,6.3,0.2,0.39,40.5,0.044,111.0,116.0,0.96632,3.26,-0.77,10.3,0,7,1.0
3,-2.0,2.08,-0.55,-26.0,-0.177,28.0,234.0,1.04627,2.78,0.5,9.0,0,8,1.0
3,13.5,1.64,0.22,-33.3,0.049,-5.0,191.0,0.9966,3.08,0.4,9.3,-1,8,1.0
7,13.8,-0.39,1.68,2.7,0.032,49.0,151.0,1.02746,1.31,0.39,14.7,2,8,2.0
3,9.6,0.29,1.71,27.9,0.042,558.0,-35.0,0.99644,3.54,0.49,9.1,0,8,2.0
5,6.0,0.11,0.32,23.7,0.028,29.0,852.0,0.9912,3.4,0.71,12.8,0,7,3.0
5,5.6,-0.4,0.31,-34.1,-0.115,-165.0,100.0,0.98964,4.3,0.4,14.3,0,6,3.0
5,5.6,0.26,0.27,10.6,0.03,160.0,119.0,0.90868,3.4,0.34,3.1,0,6,3.0
1,10.3,0.17,-0.86,-53.9,0.328,5.0,33.0,1.01619,4.1,0.33,22.5,-1,11,2.0
6,0.3,-0.13,2.35,-44.2,0.042,198.0,116.0,0.99123,2.63,-1.19,12.2,0,7,2.0
3,8.7,0.51,0.24,2.0,0.079,279.0,-23.0,0.99764,2.96,1.06,9.5,-1,9,2.0
5,30.0,-0.9,1.22,14.1,0.044,79.5,43.0,0.97136,3.47,0.78,10.9,1,7,1.0
3,6.6,3.07,0.22,46.5,0.051,35.0,268.0,0.98957,3.1,0.67,14.6,0,7,1.0
4,-0.2,1.58,0.35,-52.8,0.231,-555.0,-297.0,1.0082,3.07,-1.4,10.6,1,9,3.0
4,7.3,2.62,0.37,1.8,0.032,60.0,156.0,1.01183,3.11,1.71,17.5,0,8,3.0
3,5.2,0.27,1.05,14.0,0.05,-120.0,2.0,0.9979,3.18,0.58,11.7,-1,8,2.0
3,10.2,-0.63,1.57,36.8,0.033,234.0,165.0,1.02704,3.22,0.32,6.1,0,7,1.0
5,6.4,0.28,-0.31,-88.2,-0.267,46.0,179.0,1.00736,4.4,0.48,5.6,2,7,3.0
6,6.4,0.28,0.11,3.0,-0.382,19.0,98.0,0.99216,5.52,0.47,11.2,2,7,3.0
3,-4.8,-1.03,0.27,1.5,0.076,24.0,145.0,0.97774,3.1,-0.92,15.2,0,8,1.0
3,0.8,0.38,0.34,-55.8,0.256,150.0,153.0,0.98261,3.29,0.8,9.6,-1,8,2.0
4,7.0,-0.01,1.35,27.4,0.05,40.0,168.0,0.9976,3.07,0.52,10.8,-1,8,2.0
4,16.0,0.91,-0.44,9.8,-0.375,232.0,522.0,1.0324,3.3,0.47,8.233333333,1,7,3.0
4,18.5,0.115,0.43,44.8,0.048,54.0,-266.0,0.9946,4.23,0.44,22.7,0,7,2.0
3,6.9,0.22,0.32,-0.5,-0.014,20.0,368.0,0.99296,3.17,1.73,4.9,-1,7,2.0
4,17.0,-1.15,0.41,55.9,-0.288,37.0,-270.0,0.96641,2.48,0.45,14.9,0,7,2.0
0,8.9,0.3,1.77,-14.6,0.289,36.0,158.0,0.99121,2.53,1.5,9.4,0,7,1.0
4,7.7,0.3,1.62,36.3,0.037,-149.0,124.0,0.93412,5.09,-1.22,11.0,0,8,4.0
3,7.0,1.6,1.18,9.0,0.039,54.0,367.0,0.9956,3.08,0.43,9.8,-1,7,1.0
4,11.8,0.32,0.12,41.5,0.054,124.0,1.0,0.91741,3.16,0.54,9.3,1,7,3.0
2,-4.1,0.46,0.22,14.7,0.047,51.0,183.0,1.028195,2.64,0.6,13.6,-1,7,1.0
1,6.3,0.88,-0.84,1.0,0.336,8.0,119.0,0.9923,4.2,0.31,10.1,-1,8,1.0
4,17.9,0.15,1.56,-48.8,0.051,187.0,34.0,0.99792,2.25,0.39,9.0,-1,7,1.0
3,21.8,0.64,0.24,2.8,0.105,87.0,53.0,1.02773,3.3,2.27,2.5,0,11,1.0
3,6.7,0.61,-0.47,24.0,0.051,244.0,161.0,0.95859,3.36,-0.16,3.8,1,8,2.0
2,6.8,1.26,0.01,12.5,0.019,-170.5,72.0,0.98842,3.16,0.47,11.8,-2,7,1.0
3,6.4,0.45,0.07,20.5,0.03,10.0,131.0,0.9905,2.46,0.95,10.8,0,7,2.0
6,8.2,0.18,0.52,1.1,0.601,28.0,-289.0,1.00131,3.89,0.68,9.9,1,9,3.0
5,-4.2,0.21,0.06,53.5,0.047,17.0,61.0,1.01935,3.24,0.37,12.0,0,6,3.0
4,7.2,1.51,-0.99,-125.4,0.048,-151.0,149.0,0.98018,3.1,0.51,9.2,0,8,3.0
4,10.3,0.34,0.46,-23.1,-0.064,-53.0,198.0,0.991,3.73,0.81,5.8,0,7,2.0
3,5.9,0.67,1.91,58.8,0.036,23.0,56.0,0.9866,2.87,1.68,11.3,0,6,2.0
2,7.2,-0.44,0.37,10.4,-0.084,76.0,458.0,0.9976,4.24,0.42,8.7,-1,8,2.0
3,12.8,0.48,-0.58,2.9,0.03,8.0,122.0,0.99769,3.25,0.4,18.5,-1,8,1.0
3,11.1,0.24,0.26,-33.1,-0.146,-192.0,182.0,1.04665,3.04,0.5,13.4,0,7,2.0
5,7.8,0.42,0.26,9.2,0.058,34.0,567.0,1.03099,4.07,0.55,14.0,1,8,2.0
4,8.2,0.22,-0.42,6.8,-0.05,-219.0,-118.0,0.9944,3.46,0.38,10.5,-2,9,2.0
4,5.5,0.14,0.21,22.2,0.032,191.0,-273.0,0.99027,3.42,1.2,12.5,1,6,2.0
5,11.3,0.68,0.3,1.4,-0.251,-250.0,518.0,0.97283,3.87,0.5,9.6,1,8,2.0
2,7.3,0.74,0.08,-36.1,0.094,-230.0,123.0,0.99576,3.24,0.61,9.8,-1,8,2.0
7,5.8,0.16,-0.71,2.2,0.037,-91.0,125.0,0.98986,3.36,0.33,8.3,1,6,3.0
3,7.2,0.23,0.94,29.2,-0.417,55.0,455.0,0.9979,3.09,-0.75,14.8,-1,8,1.0
3,7.3,2.03,0.09,44.8,-0.041,16.0,-28.0,0.9712,3.02,0.56,4.9,-1,6,1.0
5,17.4,0.22,0.67,-10.05,0.044,-108.0,110.0,0.96836,3.31,-1.29,9.0,1,6,3.0
